comparison,case_id,policy,left,right,jaccard,intersection_over_min,reason,selected_count_delta,qualified_rate_delta
baseline_v03_vs_stage_a_fixed,agent_communication__agents__empty,balanced,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
balanced_vs_novelty,agent_communication__agents__empty,baseline_v03,balanced,novelty,1.0,1.0,,0,0.0
balanced_vs_recognition,agent_communication__agents__empty,baseline_v03,balanced,recognition,1.0,1.0,,0,0.0
baseline_v03_vs_stage_a_fixed,agent_communication__agents__empty,novelty,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
baseline_v03_vs_stage_a_fixed,agent_communication__agents__empty,recognition,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
balanced_vs_novelty,agent_communication__agents__empty,stage_a_fixed,balanced,novelty,1.0,1.0,,0,0.0
balanced_vs_recognition,agent_communication__agents__empty,stage_a_fixed,balanced,recognition,1.0,1.0,,0,0.0
baseline_v03_vs_stage_a_fixed,agent_communication__agents__related,balanced,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
balanced_vs_novelty,agent_communication__agents__related,baseline_v03,balanced,novelty,1.0,1.0,,0,0.0
balanced_vs_recognition,agent_communication__agents__related,baseline_v03,balanced,recognition,1.0,1.0,,0,0.0
baseline_v03_vs_stage_a_fixed,agent_communication__agents__related,novelty,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
baseline_v03_vs_stage_a_fixed,agent_communication__agents__related,recognition,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
balanced_vs_novelty,agent_communication__agents__related,stage_a_fixed,balanced,novelty,1.0,1.0,,0,0.0
balanced_vs_recognition,agent_communication__agents__related,stage_a_fixed,balanced,recognition,1.0,1.0,,0,0.0
baseline_v03_vs_stage_a_fixed,agent_communication__agents__unrelated,balanced,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
balanced_vs_novelty,agent_communication__agents__unrelated,baseline_v03,balanced,novelty,1.0,1.0,,0,0.0
balanced_vs_recognition,agent_communication__agents__unrelated,baseline_v03,balanced,recognition,1.0,1.0,,0,0.0
baseline_v03_vs_stage_a_fixed,agent_communication__agents__unrelated,novelty,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
baseline_v03_vs_stage_a_fixed,agent_communication__agents__unrelated,recognition,baseline_v03,stage_a_fixed,0.3333333333333333,1.0,,-2,-0.6
balanced_vs_novelty,agent_communication__agents__unrelated,stage_a_fixed,balanced,novelty,1.0,1.0,,0,0.0
balanced_vs_recognition,agent_communication__agents__unrelated,stage_a_fixed,balanced,recognition,1.0,1.0,,0,0.0
baseline_v03_vs_stage_a_fixed,agent_communication__learning__empty,balanced,baseline_v03,stage_a_fixed,0.0,0.0,,-2,-0.6
