network,treatment,control,metric,n_world_pairs,mean_difference,ci95_low,ci95_high,interpretation
closed,novelty,balanced,novelty_proxy,3,0.001280493012550769,-0.0009684199324234699,0.002754403520399462,simulation_internal_proxy_only
closed,novelty,balanced,text_diversity,3,-5.6186642065007376e-05,-0.002962815042665823,0.00161273563743497,simulation_internal_proxy_only
closed,novelty,balanced,cross_field_rate,3,0,0,0,simulation_internal_proxy_only
closed,novelty,balanced,mean_team_size,3,0.0,0.0,0.0,simulation_internal_proxy_only
closed,novelty,balanced,outputs,3,0,0,0,simulation_internal_proxy_only
closed,recognition,balanced,novelty_proxy,3,6.0969564053362886e-06,-0.0015179888621976723,0.0015845947210357814,simulation_internal_proxy_only
closed,recognition,balanced,text_diversity,3,-0.001015033433639086,-0.0013405698929387366,-0.0007965402186760895,simulation_internal_proxy_only
closed,recognition,balanced,cross_field_rate,3,0,0,0,simulation_internal_proxy_only
closed,recognition,balanced,mean_team_size,3,0.0,0.0,0.0,simulation_internal_proxy_only
closed,recognition,balanced,outputs,3,0,0,0,simulation_internal_proxy_only
open,novelty,balanced,novelty_proxy,3,0.0012027746586590338,-0.0009830929617026252,0.0026252908553806575,simulation_internal_proxy_only
open,novelty,balanced,text_diversity,3,0.00100607065926972,-0.0009611089064828771,0.0020031963634400962,simulation_internal_proxy_only
open,novelty,balanced,cross_field_rate,3,-0.004830917874396133,-0.0144927536231884,0.0,simulation_internal_proxy_only
open,novelty,balanced,mean_team_size,3,0.0,0.0,0.0,simulation_internal_proxy_only
open,novelty,balanced,outputs,3,0,0,0,simulation_internal_proxy_only
open,recognition,balanced,novelty_proxy,3,0.00037145317777024606,-0.00044819397416639983,0.0016086037319607005,simulation_internal_proxy_only
open,recognition,balanced,text_diversity,3,-0.0013380763349944425,-0.0028574812319217546,7.875815787061757e-05,simulation_internal_proxy_only
open,recognition,balanced,cross_field_rate,3,0.0,0.0,0.0,simulation_internal_proxy_only
open,recognition,balanced,mean_team_size,3,0.0,0.0,0.0,simulation_internal_proxy_only
open,recognition,balanced,outputs,3,0,0,0,simulation_internal_proxy_only
