seed,policy,network,outputs,novelty_proxy,text_diversity,owner_field_entropy,cross_field_rate,mean_team_size,mean_pressure
42,balanced,closed,61,0.8156112698613476,0.43893343540433644,1.0967440273024072,0,1.3114754098360655,0.2
42,novelty,closed,61,0.818365673381747,0.4405461710417714,1.0967440273024072,0,1.3114754098360655,0.1619083109390461
42,recognition,closed,61,0.8155629548717255,0.438025445215034,1.0967440273024072,0,1.3114754098360655,0.23793256652049552
42,balanced,open,64,0.8156757504339175,0.44533764988283286,1.0969145891465133,0.171875,1.25,0.2
42,novelty,open,64,0.8183010412892981,0.44734084624627296,1.0969145891465133,0.171875,1.25,0.16207785939451616
42,recognition,open,64,0.8156297002094339,0.4441021439519007,1.0969145891465133,0.171875,1.25,0.23774376672812705
43,balanced,closed,67,0.8183804567673305,0.45090322860710924,1.09839060574714,0,1.1940298507462686,0.2
43,novelty,closed,67,0.817412036834907,0.45208474808614507,1.09839060574714,0,1.1940298507462686,0.16179019724996352
43,recognition,closed,67,0.8199650514883663,0.4495626587141705,1.09839060574714,0,1.1940298507462686,0.2384177176211049
43,balanced,open,66,0.8196424948183598,0.4476410910753324,1.0938742528601115,0.13636363636363635,1.2121212121212122,0.2
43,novelty,open,66,0.8186594018566572,0.44961721559618434,1.0938742528601115,0.13636363636363635,1.2121212121212122,0.1617222379327685
43,recognition,open,66,0.8212510985503205,0.44478360984341064,1.0938742528601115,0.13636363636363635,1.2121212121212122,0.2385343400399042
44,balanced,closed,66,0.8185434010599062,0.451082306894276,1.0936850526494026,0,1.2121212121212122,0.2
44,novelty,closed,66,0.8205988965095825,0.44811949185161015,1.0936850526494026,0,1.2121212121212122,0.16162755416533744
44,recognition,closed,66,0.8170254121977085,0.4502857666755999,1.0936850526494026,0,1.2121212121212122,0.2379700077861828
44,balanced,open,69,0.8176697580748277,0.45629390993973334,1.096692663308951,0.13043478260869565,1.1594202898550725,0.2
44,novelty,open,69,0.8196358841571267,0.45533280103325047,1.096692663308951,0.11594202898550725,1.1594202898550725,0.16172650951914916
44,recognition,open,69,0.8172215641006613,0.45637266809760396,1.096692663308951,0.13043478260869565,1.1594202898550725,0.2380236083550067
