seed,policy,network,tick,outputs,novelty_proxy,text_diversity,owner_field_entropy,cross_field_rate,mean_team_size,mean_pressure
42,balanced,closed,12,16,0.8157456396475311,0.46668327230438433,1.094780226007948,0,1.25,0.2
42,balanced,closed,18,31,0.8187386767640527,0.44837321200796226,1.0914145617941,0,1.2903225806451613,0.2
42,balanced,closed,24,45,0.8154229341132333,0.436560563202247,1.0926686783816797,0,1.3333333333333333,0.2
42,balanced,closed,30,61,0.8156112698613476,0.43893343540433644,1.0967440273024072,0,1.3114754098360655,0.2
42,novelty,closed,12,16,0.8199850990124885,0.46460868163371044,1.094780226007948,0,1.25,0.19042677473599975
42,novelty,closed,18,31,0.8230659676079215,0.43437740778243417,1.0914145617941,0,1.2903225806451613,0.18071299400355786
42,novelty,closed,24,45,0.8184039566945651,0.4394946156805946,1.0926686783816797,0,1.3333333333333333,0.17151602169317035
42,novelty,closed,30,61,0.818365673381747,0.4405461710417714,1.0967440273024072,0,1.3114754098360655,0.1619083109390461
42,recognition,closed,12,16,0.8135338095160851,0.457625691773093,1.094780226007948,0,1.25,0.20941839431608658
42,recognition,closed,18,31,0.8186436053328607,0.4480917390116697,1.0914145617941,0,1.2903225806451613,0.2191300292522561
42,recognition,closed,24,45,0.8160783752992163,0.4378036568935145,1.0926686783816797,0,1.3333333333333333,0.2284243277658522
42,recognition,closed,30,61,0.8155629548717255,0.438025445215034,1.0967440273024072,0,1.3114754098360655,0.23793256652049552
42,balanced,open,12,18,0.8193101337929745,0.47714138351665014,1.0893096789558299,0.05555555555555555,1.1111111111111112,0.2
42,balanced,open,18,33,0.8187703860927503,0.4575879766880807,1.0958536606125853,0.15151515151515152,1.2121212121212122,0.2
42,balanced,open,24,48,0.8150677806435256,0.4469146701854167,1.0973093562969467,0.1875,1.25,0.2
42,balanced,open,30,64,0.8156757504339175,0.44533764988283286,1.0969145891465133,0.171875,1.25,0.2
42,novelty,open,12,18,0.8230785421173811,0.46713191574834095,1.0893096789558299,0.05555555555555555,1.1111111111111112,0.19042393818636014
42,novelty,open,18,33,0.8228354168854756,0.44501942283528506,1.0958536606125853,0.15151515151515152,1.2121212121212122,0.1807958500727251
42,novelty,open,24,48,0.8178624893135242,0.4504998882646791,1.0973093562969467,0.1875,1.25,0.1716401039779824
42,novelty,open,30,64,0.8183010412892981,0.44734084624627296,1.0969145891465133,0.171875,1.25,0.16207785939451616
42,recognition,open,12,18,0.8173440625650226,0.47476085679688085,1.0893096789558299,0.05555555555555555,1.1111111111111112,0.2094212308657262
42,recognition,open,18,33,0.8186810765664791,0.4568014125969293,1.0958536606125853,0.15151515151515152,1.2121212121212122,0.2189498469798803
42,recognition,open,24,48,0.8156822567553847,0.44761194064635035,1.0973093562969467,0.1875,1.25,0.22820291927783157
42,recognition,open,30,64,0.8156297002094339,0.4441021439519007,1.0969145891465133,0.171875,1.25,0.23774376672812705
43,balanced,closed,12,18,0.8161360827690454,0.47576635082292457,1.0893096789558299,0,1.1111111111111112,0.2
43,balanced,closed,18,36,0.8176411160515723,0.4637652838465929,1.0918384213400607,0,1.1111111111111112,0.2
43,balanced,closed,24,52,0.8191061223714527,0.4544844673401373,1.0960439684092247,0,1.1538461538461537,0.2
43,balanced,closed,30,67,0.8183804567673305,0.45090322860710924,1.09839060574714,0,1.1940298507462686,0.2
43,novelty,closed,12,18,0.8125314085761359,0.4621300730999595,1.0893096789558299,0,1.1111111111111112,0.190649887262562
43,novelty,closed,18,36,0.8158387789551175,0.4614744207741264,1.0918384213400607,0,1.1111111111111112,0.18105112304872312
43,novelty,closed,24,52,0.8178583505354456,0.4567792155373289,1.0960439684092247,0,1.1538461538461537,0.17129528395235288
43,novelty,closed,30,67,0.817412036834907,0.45208474808614507,1.09839060574714,0,1.1940298507462686,0.16179019724996352
43,recognition,closed,12,18,0.8181021539969973,0.47741909608451355,1.0893096789558299,0,1.1111111111111112,0.2095005228638013
43,recognition,closed,18,36,0.8196071872795242,0.46447884416759916,1.0918384213400607,0,1.1111111111111112,0.21915237100079485
43,recognition,closed,24,52,0.8204672486061887,0.45335963301767634,1.0960439684092247,0,1.1538461538461537,0.22890821009716508
43,recognition,closed,30,67,0.8199650514883663,0.4495626587141705,1.09839060574714,0,1.1940298507462686,0.2384177176211049
43,balanced,open,12,18,0.8193098834655963,0.4756482202120176,1.0893096789558299,0.1111111111111111,1.1111111111111112,0.2
43,balanced,open,18,35,0.818410928669657,0.4607753719952978,1.0928031365066584,0.11428571428571428,1.1428571428571428,0.2
43,balanced,open,24,51,0.8203273193623798,0.45126596108466893,1.0974582200395584,0.11764705882352941,1.1764705882352942,0.2
43,balanced,open,30,66,0.8196424948183598,0.4476410910753324,1.0938742528601115,0.13636363636363635,1.2121212121212122,0.2
43,novelty,open,12,18,0.8157052092726869,0.4685122743247817,1.0893096789558299,0.1111111111111111,1.1111111111111112,0.19059360640846099
43,novelty,open,18,35,0.8165570962275893,0.459037300017881,1.0928031365066584,0.11428571428571428,1.1428571428571428,0.18101203587051146
43,novelty,open,24,51,0.8190550814119412,0.45484557697248534,1.0974582200395584,0.11764705882352941,1.1764705882352942,0.1712326606035373
43,novelty,open,30,66,0.8186594018566572,0.44961721559618434,1.0938742528601115,0.13636363636363635,1.2121212121212122,0.1617222379327685
43,recognition,open,12,18,0.8212759546935482,0.471546399315851,1.0893096789558299,0.1111111111111111,1.1111111111111112,0.20955680371790228
43,recognition,open,18,35,0.8204331733612648,0.4597860187744423,1.0928031365066584,0.11428571428571428,1.1428571428571428,0.2191914581790065
43,recognition,open,24,51,0.8217151343468164,0.4481826978787625,1.0974582200395584,0.11764705882352941,1.1764705882352942,0.22897083344598068
43,recognition,open,30,66,0.8212510985503205,0.44478360984341064,1.0938742528601115,0.13636363636363635,1.2121212121212122,0.2385343400399042
44,balanced,closed,12,18,0.8124524352948786,0.46491909518870156,1.0986122886681096,0,1.1111111111111112,0.2
44,balanced,closed,18,34,0.817548708436187,0.4604404027603132,1.0950778621205006,0,1.1764705882352942,0.2
44,balanced,closed,24,51,0.8188471742167936,0.4556843210150921,1.0950778621205006,0,1.1764705882352942,0.2
44,balanced,closed,30,66,0.8185434010599062,0.451082306894276,1.0936850526494026,0,1.2121212121212122,0.2
44,novelty,closed,12,18,0.8181869148472373,0.47717634681963556,1.0986122886681096,0,1.1111111111111112,0.190448525491638
44,novelty,closed,18,34,0.8205846093756709,0.4577861941756303,1.0950778621205006,0,1.1764705882352942,0.1808255859913595
44,novelty,closed,24,51,0.8208711081764496,0.4527550762327191,1.0950778621205006,0,1.1764705882352942,0.17114239765765668
44,novelty,closed,30,66,0.8205988965095825,0.44811949185161015,1.0936850526494026,0,1.2121212121212122,0.16162755416533744
44,recognition,closed,12,18,0.8124524352948786,0.46491909518870156,1.0986122886681096,0,1.1111111111111112,0.20939664356044838
44,recognition,closed,18,34,0.816594529973358,0.45978665869152313,1.0950778621205006,0,1.1764705882352942,0.21897091995912255
44,recognition,closed,24,51,0.8175468866418797,0.4560069443931393,1.0950778621205006,0,1.1764705882352942,0.22855463629334444
44,recognition,closed,30,66,0.8170254121977085,0.4502857666755999,1.0936850526494026,0,1.2121212121212122,0.2379700077861828
44,balanced,open,12,19,0.8143142064349651,0.4725712501259037,1.0958871542125534,0.05263157894736842,1.0526315789473684,0.2
44,balanced,open,18,37,0.8175441442318264,0.46695128543065867,1.0935522258103947,0.05405405405405406,1.0810810810810811,0.2
44,balanced,open,24,54,0.818144639559616,0.46102472754816126,1.09546366204277,0.07407407407407407,1.1111111111111112,0.2
44,balanced,open,30,69,0.8176697580748277,0.45629390993973334,1.096692663308951,0.13043478260869565,1.1594202898550725,0.2
44,novelty,open,12,19,0.8197468712740417,0.4776751455509478,1.0958871542125534,0.05263157894736842,1.0526315789473684,0.19038266871414436
44,novelty,open,18,37,0.8203338910410819,0.4664667281549946,1.0935522258103947,0.05405405405405406,1.0810810810810811,0.18086398241620394
44,novelty,open,24,54,0.8200561327437356,0.46059988894972287,1.09546366204277,0.07407407407407407,1.1111111111111112,0.17128240511941517
44,novelty,open,30,69,0.8196358841571267,0.45533280103325047,1.096692663308951,0.11594202898550725,1.1594202898550725,0.16172650951914916
44,recognition,open,12,19,0.8143142064349651,0.4725712501259037,1.0958871542125534,0.05263157894736842,1.0526315789473684,0.20946250033794198
44,recognition,open,18,37,0.8166673315903079,0.46613302551954466,1.0935522258103947,0.05405405405405406,1.0810810810810811,0.21893252353427814
44,recognition,open,24,54,0.8175438605274645,0.46101572111703654,1.09546366204277,0.07407407407407407,1.1111111111111112,0.22851410083106688
44,recognition,open,30,69,0.8172215641006613,0.45637266809760396,1.096692663308951,0.13043478260869565,1.1594202898550725,0.2380236083550067
